architecture,precision,operation_or_feature,implementation_evidence,reference_observation,profile_status,reason
HBM2,FP16,read_bandwidth,built_in_test,pass,PARTIAL_DIAGNOSTIC_ONLY,"Global reference gate failed; 231 GB/s is SIMULATED_PIM_HBM2 and is not an admissible Stage 1 cost."
HBM2,FP16,write_bandwidth,built_in_test,pass,PARTIAL_DIAGNOSTIC_ONLY,"Global reference gate failed; 243 GB/s is SIMULATED_PIM_HBM2 and is not an admissible Stage 1 cost."
HBM2,FP16,GEMV,built_in_functional_and_performance_tests,pass,PARTIAL_DIAGNOSTIC_ONLY,"Global reference gate failed; no Stage 1 shape mapping was validated."
HBM2,FP16,GEMV_tree,built_in_functional_test,pass,PARTIAL_DIAGNOSTIC_ONLY,"Global reference gate failed; no Stage 1 shape mapping was validated."
HBM2,FP16,ADD,built_in_functional_and_performance_tests,"functional pass; performance fail",REFERENCE_TEST_FAILED,"PIMBenchFixture.add observed 1.985965967x versus required strictly greater than 2.0."
HBM2,FP16,MUL,built_in_functional_and_performance_tests,pass,PARTIAL_DIAGNOSTIC_ONLY,"Global reference gate failed; no Stage 1 shape mapping was validated."
HBM2,FP16,ReLU,built_in_functional_and_performance_tests,pass,PARTIAL_DIAGNOSTIC_ONLY,"Global reference gate failed; no Stage 1 shape mapping was validated."
HBM2,FP16,convolution,no_native_kernel,not_run,UNSUPPORTED,"Convolution would require an unreviewed decomposition/mapping adapter."
HBM2,FP32,ADD_MUL_MAC_MAD,explicit_8_lane_arithmetic_branches,not_run,IMPLEMENTED_UNVALIDATED,"Locked reference configuration and data are FP16."
HBM2,INT8,ADD_MUL_MAC_MAD,"configuration token exists; fallback BurstType operators use FP16 lanes",not_run,UNSUPPORTED,"No validated native INT8 arithmetic datapath or test evidence in this arm."
HBM2,FP8,all,no_implementation,not_run,UNSUPPORTED,"No FP8 datatype, packing, throughput, or validation."
HBM2,INT4,all,no_implementation,not_run,UNSUPPORTED,"No INT4 datatype, packing, throughput, or validation."
HBM2,any,block_scaling,no_implementation,not_run,UNSUPPORTED,"No scale format, scale traffic, or block-scaling datapath."
HBM2,any,sparse_execution,no_implementation,not_run,UNSUPPORTED,"No sparse datapath, index format, or sparse-index traffic model."
LPDDR5X_PIM,any,all,outside_documented_architecture,not_run,UNSUPPORTED,"The simulator models its documented HBM2 PIM architecture only."
generic_PNM,any,all,outside_documented_architecture,not_run,UNSUPPORTED,"No transfer of validity to a generic PNM architecture."
