requirement,pre_result_status,authoritative_evidence,completion_decision
exact simulator commit and configuration,PRESENT,phase3_manifest.json,PROVEN
accepted validation classification,PRESENT,phase3_manifest.json,PROVEN
exact workload and model version,PARTIAL,phase3_manifest.json and workload_shape_manifest_preregistered_snapshot.json,MODEL_NAME_PRESENT_CHECKPOINT_UNRESOLVED
development split,PRESENT_FOR_SIMULATOR_SHAPES,preregistration.json,PROVEN_NATIVE_MODEL_SPLIT_ONLY
locked final-evaluation split,MISSING,locked_final_split_guard.json,NOT_PROVEN_AND_NOT_OPENED
representative layer-selection procedure,PARTIAL,phase3_assumption_and_patch_ledger.md,FIXED_LAYER_SET_PRESENT_GENERAL_PROCEDURE_NOT_FORMALIZED
supported operations,PRESENT,preregistration.json,PROVEN
supported and unsupported representations,PRESENT_BUT_INCOMPLETE,preregistration.json,FP16_AND_UNSUPPORTED_GROUPS_NAMED
residency modes,MISSING,preregistration.json,NOT_PREREGISTERED
cost components,PRESENT,preregistration.json,PROVEN
parameter sensitivity ranges,MISSING,preregistration.json,NOT_PREREGISTERED
quality constraints,MISSING,preregistration.json,NOT_PREREGISTERED
joint and sequential algorithms,PRESENT_NAMES_ONLY,preregistration.json,ALGORITHMS_NAMED_BUT_NOT_EXECUTABLE_SPECIFICATION
fixed-point convergence conditions,MISSING,preregistration.json,NOT_PREREGISTERED
tie-breaking rules,MISSING,preregistration.json,NOT_PREREGISTERED
result classifications,PARTIAL,preregistration.json,STOP_RULES_PRESENT_REGIME_CLASSIFICATION_NOT_PREREGISTERED
stopping criteria,PRESENT,preregistration.json,PROVEN
required figures and reports,MISSING,preregistration.json,NOT_PREREGISTERED
analytical validation acceptance criterion,PRESENT,preregistration.json,PROVEN_BEFORE_LOCKED_NATIVE_RESULTS
