architecture,precision,operation_or_feature,phase3_status,cost_assignment,reason
HBM2,FP16,GEMV,VALIDATED_NATIVE_KERNEL,SIMULATED_PIM_HBM2_NATIVE_ONLY,"Bit-exact and deterministic for the locked development and validation mappings; host partial-sum reduction remains uncosted."
HBM2,FP16,ADD,VALIDATED_NATIVE_KERNEL,SIMULATED_PIM_HBM2,"Bit-exact and deterministic with explicit 131072-element tile padding."
HBM2,FP16,MUL,REFERENCE_VALIDATED_NOT_IN_REPRESENTATIVE_SET,NONE,"Native and reference-tested, but not selected for the locked workload subset."
HBM2,FP16,RELU,VALIDATED_NATIVE_KERNEL,SIMULATED_PIM_HBM2,"Bit-exact and deterministic with explicit 131072-element tile padding."
HBM2,FP16,Conv2d_im2col_GEMV,PARTIAL_MAPPING,SIMULATED_PIM_HBM2_NATIVE_ONLY,"GEMV portion is validated; im2col/patch packing remains an uncosted outside-PIM addition."
HBM2,FP16,AdaptiveAvgPool2d,UNSUPPORTED,NONE,"No native pooling/general reduction kernel."
HBM2,FP16,GEMV_host_partial_sum_reduction,UNVALIDATED_ANALYTICAL_ADDITION,NONE,"Operation count can be reported; host-cycle cost is not yet validated."
HBM2,FP32,all,IMPLEMENTED_UNVALIDATED,NONE,"Outside the exact authorized FP16 configuration and not validated in this preregistration."
HBM2,INT8,all,UNSUPPORTED,NONE,"Configuration token does not establish native validated INT8 arithmetic/packing."
HBM2,FP8,all,UNSUPPORTED,NONE,"No native FP8 datatype, packing, datapath, or validation."
HBM2,INT4,all,UNSUPPORTED,NONE,"No native INT4 datatype, packing, datapath, or validation."
HBM2,any,block_scaling,UNSUPPORTED,NONE,"No validated scale format, metadata traffic, or datapath."
HBM2,any,sparse_execution,UNSUPPORTED,NONE,"No validated sparse datapath or index traffic."
LPDDR5X_PIM,any,all,UNSUPPORTED,NONE,"Outside the simulator's documented HBM2 architecture."
generic_PNM,any,all,UNSUPPORTED,NONE,"No transfer of validity to generic PNM."
